"","LBS","inbreeding","Qgg","sexU","stcohort","stcohort2","isfemale","isfemalerankM","isfemalerankH","id","dam","cohort","NatalGroup","DamCohort"
"174",0,0,0,0,-0.0153407235229564,-0.0126290335651937,1,NA,NA,"2441",1829,14,19,2296
"175",0,0,0,1,0.0169586256627808,0.0170213669298115,0,0,0,"263",2763,32,12,3969
"176",0,0,0,0,-0.0117519069467634,-0.0158084067895067,1,NA,NA,"2925",1840,16,19,2307
"177",0,0,0,0,0.000808951069912199,-0.0141907969309535,1,NA,NA,"3305",1851,23,29,2319
"178",0,0,0,0,-0.0117519069467634,-0.0158084067895067,1,NA,NA,"3785",1862,16,3,2330
"179",0,0,0,0,-0.00995749865866686,-0.0167911688233942,1,NA,NA,"3825",1873,17,17,2341
"180",0,0,0,1,0.000808951069912199,-0.0141907969309535,0,0,0,"267",1884,23,12,2352
"181",0,0,0,1,0.00260335935800871,-0.0123412442662524,0,0,0,"268",2656,24,30,3389
"182",0,0,0,0,-0.00995749865866686,-0.0167911688233942,1,NA,NA,"3830",1895,17,6,2363
"183",0,0,0,1,0.00619217593420173,-0.00742828978031233,0,0,0,"270",2743,26,30,3858
"184",0,0,0,0,-0.00816309037057035,-0.017369314471769,1,NA,NA,"3903",1906,18,23,2374
"185",0,0,0,0,-0.00816309037057035,-0.017369314471769,1,NA,NA,"3925",1917,18,30,2385
"186",0,0,0,0,-0.00995749865866686,-0.0167911688233942,1,NA,NA,"3932",1928,17,29,2396
"187",0,0,0,0,-0.00636868208247384,-0.0175428437346312,1,NA,NA,"4001",1940,19,23,2407
"188",0,0,0,0,-0.00636868208247384,-0.0175428437346312,1,NA,NA,"4002",1951,19,30,2418
"189",0,0,0,1,0.0115754007984913,0.00297576483994267,0,0,0,"276",2656,29,30,3392
"190",0,0,0,0,-0.00636868208247384,-0.0175428437346312,1,NA,NA,"4004",1962,19,30,2430
"191",0,0,0,1,0.0133698090865878,0.00725301581771964,0,0,0,"278",2728,30,10,3783
"192",15,0,0,1,0.0133698090865878,0.00725301581771964,0,0,0,"279",176,30,12,466
"193",0,0,0,0,-0.00636868208247384,-0.0175428437346312,1,NA,NA,"4021",1973,19,23,2441
"194",0,0,1,1,0.0169586256627808,0.0170213669298115,0,0,0,"281",1984,32,12,2452
"195",0,0,0,0,-0.00457427379437733,-0.0173117566119807,1,NA,NA,"4066",1995,20,6,2463
"196",0,0,0,0,-0.00457427379437733,-0.0173117566119807,1,NA,NA,"4075",2006,20,6,2474
"197",0,0,0,0,-0.00457427379437733,-0.0173117566119807,1,NA,NA,"4080",2017,20,3,2485
"198",0,0,0,0,-0.00457427379437733,-0.0173117566119807,1,NA,NA,"4106",2028,20,12,2496
"199",0,0,0,1,0.000808951069912199,-0.0141907969309535,0,0,0,"285",2039,23,12,2507
"200",0,0,0,1,0.00260335935800871,-0.0123412442662524,0,0,0,"286",210,24,30,655
"201",0,0,0,0,-0.00277986550628082,-0.0166760531038176,1,NA,NA,"4176",2051,21,12,2518
"202",0,0,0,0,-0.00277986550628082,-0.0166760531038176,1,NA,NA,"4177",2062,21,12,2529
"203",0,0,0,1,0.00619217593420173,-0.00742828978031233,0,0,0,"289",2683,26,35,3559
"204",0,0,0,1,0.00798658422229824,-0.00436488795907331,0,0,0,"290",2764,27,12,3970
"205",0,0,0,1,0.00978099251039475,-0.000896869752321644,0,0,0,"291",2675,28,12,3514
"206",0,0,0,0,-0.00277986550628082,-0.0166760531038176,1,NA,NA,"4211",2073,21,29,2541
"207",0,0,0,1,0.00978099251039475,-0.000896869752321644,0,0,0,"293",2777,28,12,4031
"208",0,0,0,1,0.00978099251039475,-0.000896869752321644,0,0,0,"294",99,28,30,246
"209",0,0,0,0,-0.00277986550628082,-0.0166760531038176,1,NA,NA,"4227",2084,21,12,2552
"210",0,0,0,0,-0.00277986550628082,-0.0166760531038176,1,NA,NA,"4233",2095,21,12,2563
"211",3,0,0,1,0.0151642173746843,0.0119348831810093,0,0,0,"297",2625,31,12,3204
"212",0,0,0,0,-0.00277986550628082,-0.0166760531038176,1,NA,NA,"4238",2106,21,29,2574
"213",2,0,0,1,0.0151642173746843,0.0119348831810093,0,0,0,"299",140,31,30,356
"214",13,0,0,1,0.0169586256627808,0.0170213669298115,0,0,0,"300",13,32,31,33
"215",0,0,0,0,-0.00098545721818431,-0.0156357332101419,1,NA,NA,"4249",2117,22,10,2585
"216",0,0,0,0,-0.00098545721818431,-0.0156357332101419,1,NA,NA,"4259",2128,22,2,2596
"217",0,0,0,0,-0.00098545721818431,-0.0156357332101419,1,NA,NA,"4263",2139,22,2,2607
"218",0,0,0,0,-0.00098545721818431,-0.0156357332101419,1,NA,NA,"4365",2150,22,2,2618
"219",5,0,0,1,0.000808951069912199,-0.0141907969309535,0,0,0,"303",2650,23,12,3346
"220",2,0,0,1,0.000808951069912199,-0.0141907969309535,0,0,0,"304",2651,23,30,3354
"221",0,0,0,0,0.000808951069912199,-0.0141907969309535,1,NA,NA,"4368",2162,23,2,2629
"222",0,0,0,0,0.000808951069912199,-0.0141907969309535,1,NA,NA,"4369",2173,23,2,2640
"223",0,0,0,1,0.00439776764610522,-0.0100870752160387,0,0,0,"307",2672,25,12,3500
"224",0,0,0,0,0.000808951069912199,-0.0141907969309535,1,NA,NA,"4370",2184,23,2,2652
"225",0,0,0,0,0.000808951069912199,-0.0141907969309535,1,NA,NA,"4371",2195,23,2,2663
"226",0,0,0,0,0.000808951069912199,-0.0141907969309535,1,NA,NA,"4373",2206,23,2,2674
"227",0,0,0,1,0.00978099251039475,-0.000896869752321644,0,0,0,"311",14,28,12,36
"228",0,0,0,1,0.0115754007984913,0.00297576483994267,0,0,0,"312",2740,29,30,3841
"229",13,0,0,1,0.0115754007984913,0.00297576483994267,0,0,0,"313",2781,29,12,4052
"230",10,0,0,1,0.0133698090865878,0.00725301581771964,0,0,0,"314",194,30,5,554
"231",0,0,0,1,0.0151642173746843,0.0119348831810093,0,0,0,"315",2715,31,12,3726
"232",0,0,0,0,0.000808951069912199,-0.0141907969309535,1,NA,NA,"4377",2217,23,2,2685
"233",0,0,0,1,0.0151642173746843,0.0119348831810093,0,0,0,"317",3,31,12,7
"234",0,0,0,0,-0.0207239483872459,-0.00482535083737941,1,NA,NA,"2171",2228,11,19,2696
"235",0,0,0,0,-0.0368736229801145,0.0404349821637467,1,NA,NA,"771",2239,2,3,2707
"236",9,0,0,1,0.0187530339508773,0.0225124670641265,0,0,0,"320",140,33,30,358
"237",0,0,0,0,-0.0332848064039215,0.0275448156871301,1,NA,NA,"1153",2250,4,21,2718
"238",1,0,0,1,0.000808951069912199,-0.0141907969309535,0,0,0,"322",2648,23,12,3332
