study ID,method 2,h2,SE of h2
54,parent-offspring regression,0.047,0.078
54,parent-offspring regression,0.064,0.102
54,parent-offspring regression,0.078,0.051
54,parent-offspring regression,0.094,0.054
54,parent-offspring regression,0.111,0.067
54,parent-offspring regression,0.114,0.063
54,parent-offspring regression,0.171,0.072
54,parent-offspring regression,0.244,0.089
54,parent-offspring regression,-0.025,0.088
54,parent-offspring regression,-0.008,0.117
54,parent-offspring regression,0.008,0.07
54,parent-offspring regression,0.008,0.054
54,parent-offspring regression,0.015,0.081
54,parent-offspring regression,0.018,0.057
54,parent-offspring regression,0.024,0.074
54,parent-offspring regression,0.045,0.07
54,parent-offspring regression,0.046,0.089
54,parent-offspring regression,0.44,0.05
54,parent-offspring regression,0.115,0.108
54,parent-offspring regression,0.148,0.109
54,parent-offspring regression,0.158,0.079
54,parent-offspring regression,0.212,0.123
54,parent-offspring regression,0.255,0.081
54,parent-offspring regression,0.277,0.1
54,parent-offspring regression,0.327,0.155
54,parent-offspring regression,0.37,0.14
54,parent-offspring regression,0.389,0.109
54,parent-offspring regression,0.02,0.096
54,parent-offspring regression,0.028,0.069
54,parent-offspring regression,0.043,0.102
54,parent-offspring regression,0.127,0.081
54,parent-offspring regression,0.141,0.091
54,parent-offspring regression,0.143,0.116
54,parent-offspring regression,0.145,0.071
54,parent-offspring regression,0.157,0.142
54,parent-offspring regression,0.179,0.125
54,parent-offspring regression,0.521,0.052
54,parent-offspring regression,0.463,0.044
55,parent-offspring regression,0.48,0.13
55,parent-offspring regression,0.97,0.11
56,parent-offspring regression,0.474,0.234
56,parent-offspring regression,0.474,0.196
56,parent-offspring regression,0.54,0.29
56,parent-offspring regression,0.996,0.298
57,parent-offspring regression,0.006,0.15
58,parent-offspring regression,0.371,0.122
58,parent-offspring regression,0.434,0.125
58,parent-offspring regression,0.322,0.145
58,parent-offspring regression,0.043,0.141
58,parent-offspring regression,0.687,0.142
58,parent-offspring regression,0.7,0.119
58,parent-offspring regression,-0.016,0.154
58,parent-offspring regression,0,0.182
58,parent-offspring regression,-0.014,0.158
58,parent-offspring regression,0.008,0.128
58,parent-offspring regression,-0.016,0.131
58,parent-offspring regression,-0.005,0.173
58,parent-offspring regression,0.483,0.15
