"id","dam","sire"
"651020-_RM",NA,NA
"654020-_RY",NA,NA
"596821-NMG2",NA,NA
"596820-NNR",NA,NA
"653012-gARG",NA,NA
"650011-gYY",NA,NA
"651011-mON",NA,NA
"596825-MWM",NA,NA
"596828-GGM",NA,NA
"596827-OWB",NA,NA
"652013-G--2",NA,NA
"652011-N--2",NA,NA
"652012-Y--2",NA,NA
"596867-BOW",NA,NA
"596875-OboW2",NA,NA
"626615-BmbM",NA,NA
"626614-RmbM",NA,NA
"626616-WmbM",NA,NA
"626700-NGM4",NA,NA
"626699-ONY",NA,NA
"626701-WGB2",NA,NA
"626707-WYR",NA,NA
"626708-YWG",NA,NA
"626709-NBR",NA,NA
"626711-MGW",NA,NA
"626713-NWR",NA,NA
"626712-OWO",NA,NA
"626714-WMG2",NA,NA
"626715-NYR2",NA,NA
"626716-WBR",NA,NA
"583809-mGMW",NA,NA
"626718-NYB",NA,NA
"626717-WGR2",NA,NA
"626719-NOR",NA,NA
"626720-NMM",NA,NA
"626721-NGG",NA,NA
"626725-NGR2",NA,NA
"626726-NBB",NA,NA
"626730-MWO",NA,NA
"626727-NOW",NA,NA
"626731-NOO2",NA,NA
"626732-WMR2",NA,NA
"626733-ONW",NA,NA
"626734-YYN",NA,NA
"626736-WRB",NA,NA
"626738-NWG2",NA,NA
"626741-GYO",NA,NA
"626739-WOB2",NA,NA
"626740-WRY",NA,NA
"626742-WGG",NA,NA
"626744-NYY",NA,NA
"626745-OOM",NA,NA
"626743-WGM2",NA,NA
"626746-BNN",NA,NA
"626747-WYY2",NA,NA
"626748-NRO",NA,NA
"626749-WOY",NA,NA
"626750-RRR",NA,NA
"626757-NWN",NA,NA
"626838-NNM2",NA,NA
"626888-BYW",NA,NA
"626889-WMB2",NA,NA
"626895-NGY",NA,NA
"626898-NWB2",NA,NA
"626899-NRM2",NA,NA
"626900-NRW",NA,NA
"626903-MWY",NA,NA
"626901-NNY",NA,NA
"626902-WBG",NA,NA
"626904-WGN",NA,NA
"626908-WMY",NA,NA
"626910-WRN",NA,NA
"626911-WRR",NA,NA
"626913-WOM2",NA,NA
"626914-YWW2",NA,NA
"626915-WMW3",NA,NA
"626916-YWN",NA,NA
"626917-NGW",NA,NA
"626919-BNB",NA,NA
"626918-ORW",NA,NA
"626920-BBB",NA,NA
"626921-GYM",NA,NA
"626923-BWN",NA,NA
"626922-NNB",NA,NA
"626925-MRM",NA,NA
"626924-NOM",NA,NA
"626926-OBW",NA,NA
"626927-OWR",NA,NA
"626928-WOO",NA,NA
"626953-MBN",NA,NA
"626950-WNW",NA,NA
"626954-bgAA2",NA,NA
"626951-bgPP",NA,NA
"626952-bgRN2",NA,NA
"626965-bwRR",NA,NA
"696335-rgMR",NA,NA
"696360-rgON2",NA,NA
"696359-rgPP",NA,NA
"696370-wrGG2",NA,NA
"696371-wrRM2",NA,NA
"696407-BMW",NA,NA
"696408-MWB",NA,NA
"696406-NMO",NA,NA
"696410-OWM",NA,NA
"696417-RAO",NA,NA
"696415-RRM",NA,NA
"696412-RWO",NA,NA
"696413-WBN",NA,NA
"696418-WNB",NA,NA
"696419-WNY",NA,NA
"696414-WRO2",NA,NA
"696431-MMO",NA,NA
"696433-MWG",NA,NA
"696435-nyMM",NA,NA
"696436-rgRM2",NA,NA
"696451-ABB2",NA,NA
"696452-ANR",NA,NA
"696457-AMM2",NA,NA
"696458-ARG",NA,NA
"696456-GAN",NA,NA
"696465-ARY",NA,NA
"696472-ABO",NA,NA
"696474-AMY",NA,NA
"696471-AWN",NA,NA
"696473-NAG",NA,NA
"696478-nyRW",NA,NA
"696483-AYM",NA,NA
"696491-BBO",NA,NA
"696492-BON",NA,NA
"696493-BOW2",NA,NA
"696499-AOM",NA,NA
"696500-AGB",NA,NA
"696505-NWM",NA,NA
"696502-WMM",NA,NA
"696501-WMO",NA,NA
"696509-GAY",NA,NA
"696508-NAR",NA,NA
"696510-RRN",NA,NA
"696516-BAM",NA,NA
"696512-RYW",NA,NA
"696515-WRM",NA,NA
"696518-brGN",NA,NA
"696520-OBA",NA,NA
"696521-AOY",NA,NA
"696523-BYW",NA,NA
"696524-OAR",NA,NA
"696526-WAB",NA,NA
"696527-YAG",NA,NA
"696528-YNA",NA,NA
"696530-ManO",NA,NA
"696529-YanG",NA,NA
"696539-ABR",NA,NA
"696540-ARN",NA,NA
"696543-BGA",NA,NA
"696542-NOA",NA,NA
"696532-WWO",NA,NA
"696533-brWM2",NA,NA
"696537-brYB",NA,NA
"696535-nyMY",NA,NA
"696534-wgBN",NA,NA
"696544-wgMB",NA,NA
"696538-wgON",NA,NA
"696536-wrYN",NA,NA
"S00003-soc03",NA,NA
"696559-AGO",NA,NA
"696564-MMY",NA,NA
"696558-NRA",NA,NA
"696560-OMW",NA,NA
"696565-ROM2",NA,NA
"696562-RWY",NA,NA
"696563-WWN",NA,NA
"696561-YNW",NA,NA
"696566-BYG",NA,NA
"696567-RWG1",NA,NA
"696571-GON2",NA,NA
"696580-OOO",NA,NA
"681447-rwOB",NA,NA
"681444-rwRO2",NA,NA
"681445-rwWN2",NA,NA
"681446-rwYR2",NA,NA
"681473-ANW2",NA,NA
"681475-MNA",NA,NA
"M00065-du065",NA,NA
"696635-GNR",NA,NA
"S00002-soc02",NA,NA
"696682-GYN",NA,NA
"696678-NOY",NA,NA
"696686-OGN",NA,NA
"696679-OGY",NA,NA
"696687-OMM",NA,NA
