ID	Sire	Dam
2050	NA	699
2051	1484	699
2052	3973	699
1564	NA	700
1563	NA	700
1565	NA	700
1562	3057	700
4407	NA	710
686	NA	726
313	565	737
317	2460	737
312	565	737
309	275	737
311	4158	737
315	3126	737
310	4158	737
314	1147	737
316	5156	737
734	1174	739
737	1910	739
736	349	739
732	NA	739
733	2381	739
735	4839	739
2293	NA	744
2297	3965	744
2294	1943	744
2295	3527	744
2296	4507	744
5096	257	747
5099	4688	747
5097	2538	747
5101	1944	747
5100	4688	747
5102	3528	747
5098	3057	747
2404	184	748
2403	NA	748
2405	2538	748
2407	3527	748
2406	4688	748
1693	3128	753
1690	3126	753
1692	3128	753
1695	1974	753
1691	540	753
1694	4035	753
2035	NA	757
2037	4275	757
2036	470	757
2038	4035	757
1764	NA	761
1766	NA	761
1765	4061	761
2339	3874	767
2337	4566	767
2340	4925	767
2335	4566	767
2338	4656	767
2336	2767	767
4393	NA	772
4392	4688	772
4391	701	772
2666	946	776
1113	NA	778
1114	NA	778
1112	1492	778
831	2477	785
832	1973	785
833	4781	785
2425	NA	787
2424	NA	787
2423	NA	787
3068	2544	801
3025	3527	807
3031	427	807
3028	2477	807
3033	4230	807
3029	5037	807
3027	2477	807
3032	1472	807
3026	4677	807
3030	5332	807
387	2477	810
390	NA	810
388	1450	810
389	2589	810
386	2477	810
391	NA	810
392	4230	810
4111	447	815
4116	2675	815
4114	377	815
4117	NA	815
4118	1174	815
4115	2142	815
4113	NA	815
4112	1020	815
3059	NA	817
3061	2767	817
3058	NA	817
3060	NA	817
3062	2882	817
817	3595	821
814	1503	821
819	NA	821
815	1497	821
813	NA	821
812	NA	821
818	NA	821
820	NA	821
816	NA	821
1771	NA	826
1768	4023	826
1770	NA	826
1772	4809	826
1769	4023	826
113	1468	831
338	2651	835
339	4112	835
337	NA	835
618	3893	836
617	4538	836
615	3554	836
616	2767	836
4952	NA	841
4957	4800	841
4959	257	841
4956	2631	841
4958	2451	841
4954	1021	841
4955	1899	841
4953	3874	841
3368	3837	842
3369	201	842
2225	NA	844
2223	NA	844
2226	NA	844
2224	NA	844
2221	1499	844
2222	3831	844
1724	NA	847
1723	2645	847
1134	2779	848
1130	NA	848
