Code,Mum,Dad
COY71,COYHI,*
ELG71,ELGRE,*
SICKT,MOCTT,*
TRN71,TRNRI,*
FRODO,D0527,D0572
XRRSB,*,*
BRA72,ELG68,*
LIT72,LITLH,FAISA
RTN72,RTNIC,*
BLT72,BLTLE,*
LIBRA,*,*
LIKEC,*,*
NOB72,BUL65,*
SPR72,SPREA,*
SOB72,SOBHR,*
CHO72,CHOCH,*
THI72,ELG66,*
RTH72,RTHOL,*
SOLOM,MOWSP,THORS
BUL72,BULGY,FAISA
YHO72,GRE68,HEINS
OTA72,OTAGG,*
MYR72,MYRTL,*
YTA72,YTAGG,HEINS
CLE72,CLEOP,D0583
PGB72,SOB68,*
MOP72,MOM68,*
WHI72,WHIGR,THORS
MOM72,MOMHI,FAISA
SOO72,SOOTY,*
LTNIK,*,CAESA
COC72,COCKL,*
COINH,*,*
COL72,COLLE,HEINS
GRE72,GREET,HEINS
VASES,*,*
BIG72,BIGHE,*
MHO72,MHOLE,*
UPT72,UPTUR,*
FEE72,FEEDE,*
COTTO,*,*
COY72,COYHI,*
MAG72,MOM67,FAISA
CHALL,*,*
LOW72,LOWSE,*
UPR72,UPRHI,FAISA
GLA72,GLASS,*
BRO72,BROWH,THORS
TISPI,*,*
CAI72,CAILL,*
TRN72,TRNRI,FAISA
RED72,REDYE,HEINS
SCO72,SCOLL,THORS
LTF72,LTFLH,HEINS
TAL72,BRO66,THORS
TOR72,TRN69,CECIL
RGR72,RGRHI,HEINS
BST72,MHO67,*
ELG72,ELGRE,*
CRT72,CROTT,HEINS
MOL72,MOLIN,*
FORCE,*,*
BLO72,BLOSS,FAISA
POL72,POLLU,*
CHE72,BLT69,D0542
MOD72,MOM65,FAISA
POL73,POLLU,D0542
CAI73,CAILL,*
INDEN,*,*
GL373,GLA69,THORS
LOW73,LOWSE,*
CHE73,BLT69,*
BLT73,BLTLE,CECIL
GLA73,GLASS,*
LIT73,LITLH,CECIL
BARKE,*,*
THI73,ELG66,*
CRT73,CROTT,*
WEY73,WHEYE,*
BRA73,ELG68,*
M1092,*,*
UPR73,UPRHI,CECIL
RGR73,RGRHI,FAISA
BST73,MHO67,HEINS
SPRIG,*,BUDDY
BET73,BLT68,*
BDLFT,MOWSP,THORS
APR73,APRIC,*
TOR73,TRN69,*
ROW73,ROWAN,*
TAL73,BRO66,*
Y3478,*,*
MOL73,MOLIN,*
SOB73,SOBHR,*
CLE73,CLEOP,HEINS
YTA73,YTAGG,*
LTF73,LTFLH,*
RTN73,RTNIC,SDVIW
RED73,REDYE,SAGGY
CHO73,CHOCH,VICTO
SIE73,LIT70,*
TRN73,TRNRI,D0542
RTH73,RTHOL,*
PIBRO,MOLIB,CONAR
MOM73,MOMHI,*
BUL73,BULGY,STARN
COL73,COLLE,HEINS
GRE73,GREET,HEINS
FEM73,CLE70,*
MOY73,UPR68,CECIL
SOOO7,SOOTY,*
MOD73,MOM65,*
WHI73,WHIGR,CAESA
PGB73,SOB68,*
BIG73,BIGHE,*
COY73,COYHI,*
BKNST,*,*
ALCOC,*,*
SPR73,SPREA,*
WIN73,WINKL,*
ELG73,ELGRE,*
BLO73,BLOSS,*
FEE73,FEEDE,HEINS
MOY74,UPR68,D0542
RED74,REDYE,D0586
BRF74,FEE71,TRICK
KIL74,BUL71,*
PJANE,*,*
CLE74,CLEOP,*
RTN74,RTNIC,*
SCARI,*,*
PGB74,SOB68,*
CMOFF,*,ARIST
CHRIS,*,D0583
NRSWI,MOWSP,MAXIS
COC74,COCKL,D0609
OTA74,OTAGG,*
ROW74,ROWAN,*
POL74,POLLU,*
MOR74,MORFH,*
BST74,MHO67,SAGGY
MOP74,MOM68,*
MOM74,MOMHI,*
CAI74,CAILL,*
COY74,COYHI,*
MAG74,MOM67,*
QUINS,*,NICKS
BRIGH,*,*
JEMMY,*,*
CRT74,CROTT,SAGGY
MOD74,MOM65,VICTO
PIN74,TAL70,D0542
JOS74,ELG71,*
LIMES,*,*
CHE74,BLT69,*
LTN74,LTNCK,*
LIT74,LITLH,D0590
LTF74,LTFLH,D0542
SCO74,SCOLL,*
PEBBL,*,*
LIC74,CRT71,D0601
NOB74,BUL65,*
RTH74,RTHOL,*
MYR74,MYRTL,*
RGR74,RGRHI,*
BURNE,*,*
MOL74,MOLIN,*
SID74,MOL70,*
COL74,COLLE,SAGGY
CHO74,CHOCH,*
SAMES,*,*
BUL74,BULGY,*
TEA74,TAL71,*
YTA74,YTAGG,D0586
BGR74,MOBGG,*
FIR74,BUL70,*
BAR74,BARKH,*
YHO74,GRE68,SAGGY
YELLO,*,HAMIS
THI74,ELG66,*
SOB74,SOBHR,*
SOO74,SOOTY,*
Y0381,*,*
UPT74,UPTUR,D0542
SPR74,SPREA,*
FEE74,FEEDE,*
WIN74,WINKL,*
UPR74,UPRHI,CECIL
TBONE,*,*
BLO74,BLOSS,*
TAMEG,*,*
BIG74,BIGHE,*
FRANK,*,*
GREYS,*,*
GRE74,GREET,*
TAL74,BRO66,*
WID74,MOW71,*
APR74,APRIC,*
GL374,GLA69,*
GLA74,GLASS,*
VER74,RGR71,D0590
ZEBRA,MOLIB,BLT71
TRIAN,*,*
BR274,BRO70,SAGGY
TRN74,TRNRI,THORS
TOR74,TRN69,PINCS
BET74,BLT68,*
BRA74,ELG68,*
UPT75,UPTUR,*
RGR75,RGRHI,*
RED75,REDYE,*
OTA75,OTAGG,*
BST75,MHO67,YESTE
VER75,RGR71,*
TER75,TRN72,STARN
WORRI,*,*
PRY75,WIN71,*
BET75,BLT68,*
FOL75,MOD72,CONGA
UPR75,UPRHI,CECIL
MEL75,YHO71,SAGGY
TRN75,TRNRI,*
BLT75,BLTLE,ETHEL
COL75,COLLE,*
APR75,APRIC,*
WHI75,WHIGR,*
GLA75,GLASS,*
GPI75,*,*
MOL75,MOM65,PINCS
GL375,GLA69,PINCS
WHINO,*,*
TOR75,TRN69,BOSSS
SCO75,SCOLL,*
GRE75,GREET,*
MOY75,UPR68,STARN
POL75,POLLU,*
WID75,MOW71,*
KIL75,BUL71,*
CHE75,BLT69,D0609
BIG75,BIGHE,*
CRT75,CROTT,*
TAL75,BRO66,CONGA
COC75,COCKL,*
SLOPE,*,D0604
PGB75,SOB68,*
OTC75,OTA72,*
LTF75,LTFLH,*
CLE75,CLEOP,SAGGY
LONGS,*,*
BAR75,UPR71,ETHEL
SIE75,LIT70,*
CLC75,COL72,*
MASSI,*,*
NOB75,BUL65,*
YTA75,YTAGG,YESTE
MANES,*,*
SMILE,*,*
RTH75,RTHOL,*
HUMML,*,*
FIR75,BUL70,ETHEL
CHO75,CHOCH,PINCS
ROW75,ROWAN,*
BLO75,BLOSS,CECIL
FEE75,FEEDE,*
SHUVS,*,*
SID75,MOL70,*
YHO75,GRE68,*
DOR75,YTA72,*
CPBPT,*,TRICK
BUL75,BULGY,*
LIT75,LITLH,*
PALEF,*,*
RTN75,RTNIC,*
SIC75,SICKT,*
COY75,COYHI,*
POL76,POLLU,*
CHE76,BLT69,D0603
KIN76,ROW73,*
APR76,APRIC,*
ASH76,ROW74,*
KIL76,BUL71,ELSIV
FIR76,BUL70,*
LIT76,LITLH,D0604
ROCKY,*,SLIPP
ASP76,TOR72,*
LKBRF,*,*
SCO76,SCOLL,MAXIS
GL376,GLA69,PINCS
TOR76,TRN69,D0603
GLA76,GLASS,*
PIN76,TAL70,*
WEY76,WHEYE,*
TUFTS,*,*
BET76,BLT68,YESTE
STURD,*,*
LIC76,CRT71,MAXIS
RUFOU,*,*
COY76,COYHI,*
COR76,RTN73,*
TRN76,TRNRI,*
UPR76,UPRHI,*
DOR76,YTA72,*
RTN76,RTNIC,*
TER76,TRN72,*
UPT76,UPTUR,ELSIV
SADAM,*,*
COC76,COCKL,*
THI76,ELG66,*
BIG76,BIGHE,SOLOM
VER76,RGR71,*
BST76,MHO67,*
TEA76,TAL71,SAGGY
RGR76,RGRHI,*
MAN76,MOM72,*
FLINT,*,*
RED76,REDYE,*
CRT76,CROTT,MAXIS
MEL76,YHO71,MAXIS
TAL76,BRO66,*
BAR76,UPR71,*
TAC76,TAL73,*
COL76,COLLE,*
WIN76,WINKL,*
BRF76,FEE71,SAGGY
MYT76,COC72,*
BR276,BRO70,*
SEELS,*,*
BOWLS,*,*
BRC76,BRA72,*
PGB76,SOB68,*
MYR76,MYRTL,*
BRA76,ELG68,*
MOY76,UPR68,BOSSS
JOS76,ELG71,*
CLC76,COL72,*
YHO76,GRE68,MAXIS
PASSS,*,*
SNI76,GRE73,*
OTC76,OTA72,*
MSTRL,*,*
YTA76,YTAGG,D0586
CLE76,CLEOP,YESTE
OTA76,OTAGG,MAXIS
NOB76,BUL65,YESTE
CIN76,BST73,HECTO
BLC76,BLO72,*
WHI76,WHIGR,MAXIS
SID76,MOL70,*
MOP76,MOM68,*
BLT76,BLTLE,*
CHO76,CHOCH,*
GRC76,GRE72,YESTE
SLE76,THI72,*
Y2184,*,*
MUS77,RED74,MAXIS
SNI77,GRE73,MAXIS
BST77,MHO67,*
VER77,RGR71,*
COI77,COINH,*
LIT77,LITLH,*
ROW77,ROWAN,*
LIM77,POL73,*
WIN77,WINKL,*
DIAMO,*,*
COC77,COCKL,*
CMO77,CMOFF,SAGGY
JEN77,JOS74,*
LIC77,CRT71,*
NOB77,BUL65,*
SIC77,SICKT,*
