"","LBS","inbreeding","Qgg","sexU","stcohort","stcohort2","id","dam","cohort","group","litter","DamCohort"
"127",0,0,0.5,1,-0.0138649946556768,-0.0122917333119508,370,28,10,27,94,287
"128",3,0,0.5,1,-0.0138649946556768,-0.0122917333119508,381,28,10,27,94,287
"129",2,0,0.25,1,-0.0138649946556768,-0.0122917333119508,392,28,10,27,96,287
"130",0,0,0.25,1,-0.0138649946556768,-0.0122917333119508,404,28,10,27,96,287
"131",4,0,0.25,1,-0.0138649946556768,-0.0122917333119508,413,28,10,27,96,287
"132",8,0,0.25,1,-0.0138649946556768,-0.0122917333119508,424,28,10,27,96,287
"133",13,0,0.375,1,-0.0104470389074619,-0.0161182106376045,433,15,11,27,51,144
"134",0,0,0.375,1,-0.0104470389074619,-0.0161182106376045,444,15,11,27,51,144
"135",0,0,0.375,1,-0.0104470389074619,-0.0161182106376045,450,15,11,27,51,144
"136",0,0,0,1,-0.0104470389074619,-0.0161182106376045,461,28,11,27,97,288
"137",0,0,0,1,-0.0104470389074619,-0.0161182106376045,472,28,11,27,97,288
"138",0,0.0390625,0.125,1,-0.00702908315924706,-0.0187169376305016,483,17,12,27,52,177
"139",4,0.0390625,0.125,1,-0.00702908315924706,-0.0187169376305016,494,17,12,27,52,177
"140",0,0,0.125,1,-0.00702908315924706,-0.0187169376305016,506,17,12,27,52,177
"141",19,0.078125,0.125,1,-0.00702908315924706,-0.0187169376305016,517,17,12,27,53,177
"142",3,0.078125,0.125,1,-0.00702908315924706,-0.0187169376305016,528,17,12,27,53,177
"143",0,0.0703125,0.125,1,-0.00361112741103219,-0.0200879142906419,539,18,13,27,59,193
"144",0,0.0703125,0.125,1,-0.00361112741103219,-0.0200879142906419,550,18,13,27,59,193
"145",0,0.0703125,0.125,1,-0.00361112741103219,-0.0200879142906419,561,18,13,27,59,193
"146",0,0.0703125,0.125,1,-0.00361112741103219,-0.0200879142906419,572,18,13,27,59,193
"147",2,0.125,0,1,-0.00361112741103219,-0.0200879142906419,583,16,13,27,55,160
"148",1,0.125,0,1,-0.00361112741103219,-0.0200879142906419,594,16,13,27,55,160
"149",0,0,0.5625,1,-0.000193171662817315,-0.0202311406180255,604,20,14,27,61,222
"150",0,0,0.5625,1,-0.000193171662817315,-0.0202311406180255,608,20,14,27,61,222
